"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Break","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Feedback","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Break","response_Feedback","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Break","response_time_Feedback","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Break","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Feedback","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"n","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","red","yellow","blue","legacy","0","uniform","0","0","/","NA","NA","0","NA","NA","NA","NA","0","NA","10","0","0","0","0","NA","10","10","0","0","10","10","10","10","10","0","0","0","0","0","0","10","10","10","10","10","10","10","10","10","10","0","10","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2001","NA","NA","309","269","341","757","405","2001","768","legacy","0","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2485926","NA","NA","NA","2421173","NA","2487545","2486029","NA","2421173","2488546","2436251","2472351","2466722","2488548","2419488","2419800","2420072","2420416","2419080","2417052","2488549","2436755","2472353","2466726","2488551","2488551","2490656","NA","2490554","2490756","2418309","2485926","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","22001","11","yes","1024"
"y","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","red","blue","yellow","legacy","0","uniform","0","0","z","NA","NA","0","NA","NA","NA","NA","0","NA","11","0","0","0","0","NA","11","11","0","0","11","11","11","11","11","0","0","0","0","0","0","11","11","11","11","11","11","11","11","11","11","0","11","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2001","NA","NA","309","269","341","757","405","2001","768","legacy","0","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2491452","NA","NA","NA","2421173","NA","2493071","2491555","NA","2421173","2494071","2494073","2472351","2466722","2488548","2419488","2419800","2420072","2420416","2419080","2417052","2494074","2494076","2472353","2466726","2488551","2494076","2496181","NA","2496079","2496281","2418309","2491452","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","24002","12","yes","1024"
"y","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","red","blue","yellow","legacy","0","uniform","0","0","z","NA","NA","0","NA","NA","NA","NA","0","NA","12","0","0","0","0","NA","12","12","0","0","12","12","12","12","12","0","0","0","0","0","0","12","12","12","12","12","12","12","12","12","12","0","12","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2497016","NA","NA","NA","2421173","NA","2498639","2497120","NA","2421173","2499640","2499642","2472351","2466722","2488548","2419488","2419800","2420072","2420416","2419080","2417052","2500143","2500146","2472353","2466726","2488551","2500146","2502250","NA","2502148","2502350","2418309","2497016","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","26002","13","yes","1024"
"n","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","red","yellow","green","blue","legacy","0","uniform","0","0","/","NA","NA","0","NA","NA","NA","NA","0","NA","13","0","0","0","0","NA","13","13","0","0","13","13","13","13","13","0","0","0","0","0","0","13","13","13","13","13","13","13","13","13","13","0","13","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2503076","NA","NA","NA","2421173","NA","2504692","2503176","NA","2421173","2505692","2499642","2472351","2466722","2505694","2419488","2419800","2420072","2420416","2419080","2417052","2506195","2500146","2472353","2466726","2506198","2506198","2508302","NA","2508200","2508402","2418309","2503076","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","28002","14","yes","1024"
"n","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","0","0","z","NA","NA","0","NA","NA","NA","NA","0","NA","14","0","0","0","0","NA","14","14","0","0","14","14","14","14","14","0","0","0","0","0","0","14","14","14","14","14","14","14","14","14","14","0","14","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2001","NA","NA","309","269","341","757","405","2001","768","legacy","0","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2509164","NA","NA","NA","2421173","NA","2510810","2509308","NA","2421173","2511810","2499642","2511812","2466722","2505694","2419488","2419800","2420072","2420416","2419080","2417052","2511813","2500146","2511815","2466726","2506198","2511815","2513920","NA","2513818","2514020","2418309","2509164","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","30003","15","yes","1024"
"y","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","red","green","yellow","blue","legacy","0","uniform","0","0","z","NA","NA","0","NA","NA","NA","NA","0","NA","15","0","0","0","0","NA","15","15","0","0","15","15","15","15","15","0","0","0","0","0","0","15","15","15","15","15","15","15","15","15","15","0","15","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2001","NA","NA","309","269","341","757","405","2001","768","legacy","0","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2514758","NA","NA","NA","2421173","NA","2516381","2514863","NA","2421173","2517381","2517383","2511812","2466722","2505694","2419488","2419800","2420072","2420416","2419080","2417052","2517384","2517386","2511815","2466726","2506198","2517386","2519491","NA","2519389","2519591","2418309","2514758","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","32004","16","yes","1024"
"y","no","yes","rect","0","0","2001","2001","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","0","0","/","NA","NA","1","NA","NA","NA","NA","1","NA","16","0","0","0","0","NA","16","16","0","0","16","16","16","16","16","0","0","0","0","0","0","16","16","16","16","16","16","16","16","16","16","0","16","NA","NA","NA","1","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","","0","None","NA","NA","space","space","space","space","space","None","space","2001","NA","NA","309","269","341","757","405","2001","768","legacy","0","experiment","999","odd","NA","NA","2519633","NA","NA","NA","NA","NA","NA","2520363","NA","NA","NA","2421173","NA","2521946","2520428","NA","2421173","2522947","2517383","2511812","2522950","2505694","2419488","2419800","2420072","2420416","2419080","2417052","2522950","2517386","2511815","2522952","2506198","2522952","2525057","NA","2524955","2525157","2418309","2520363","NA","NA","NA","2519633","2417051","Hommel2002EXP01","0","2001","1","yes","1024"
"n","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","yellow","green","red","blue","legacy","0","uniform","0","0","/","NA","NA","1","NA","NA","NA","NA","1","NA","17","0","0","0","0","NA","17","17","0","0","17","17","17","17","17","0","0","0","0","0","0","17","17","17","17","17","17","17","17","17","17","0","17","NA","NA","NA","1","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2519633","NA","NA","NA","NA","NA","NA","2525893","NA","NA","NA","2421173","NA","2527510","2525994","NA","2421173","2528510","2517383","2511812","2522950","2528512","2419488","2419800","2420072","2420416","2419080","2417052","2529012","2517386","2511815","2522952","2529015","2529015","2531119","NA","2531017","2531219","2418309","2525893","NA","NA","NA","2519633","2417051","Hommel2002EXP01","0","4001","2","yes","1024"
"n","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","red","yellow","blue","legacy","0","uniform","0","0","z","NA","NA","1","NA","NA","NA","NA","1","NA","18","0","0","0","0","NA","18","18","0","0","18","18","18","18","18","0","0","0","0","0","0","18","18","18","18","18","18","18","18","18","18","0","18","NA","NA","NA","1","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2519633","NA","NA","NA","NA","NA","NA","2531959","NA","NA","NA","2421173","NA","2533571","2532059","NA","2421173","2534571","2517383","2534573","2522950","2528512","2419488","2419800","2420072","2420416","2419080","2417052","2535073","2517386","2535080","2522952","2529015","2535080","2537184","NA","2537082","2537284","2418309","2531959","NA","NA","NA","2519633","2417051","Hommel2002EXP01","0","6001","3","yes","1024"
"n","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","red","yellow","green","blue","legacy","0","uniform","0","0","z","NA","NA","1","NA","NA","NA","NA","1","NA","19","0","0","0","0","NA","19","19","0","0","19","19","19","19","19","0","0","0","0","0","0","19","19","19","19","19","19","19","19","19","19","0","19","NA","NA","NA","1","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","0","experiment","999","odd","NA","NA","2519633","NA","NA","NA","NA","NA","NA","2538028","NA","NA","NA","2421173","NA","2539655","2538145","NA","2421173","2540656","2517383","2540659","2522950","2528512","2419488","2419800","2420072","2420416","2419080","2417052","2540659","2517386","2540661","2522952","2529015","2540661","2542765","NA","2542663","2542865","2418309","2538028","NA","NA","NA","2519633","2417051","Hommel2002EXP01","0","8001","4","yes","1024"
