"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Feedback","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Feedback","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Feedback","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Feedback","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","red","green","blue","yellow","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","10","0","0","0","0","NA","10","10","0","0","10","10","10","10","10","0","0","0","0","0","0","10","10","10","10","10","10","10","10","10","10","0","10","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2001","NA","285","213","365","813","1166","2001","1372","legacy","500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","73860","NA","NA","8910","NA","NA","75448","73933","8910","NA","76449","69405","76451","25368","38986","7225","7513","7729","8097","6056","2752","76951","70908","76953","26370","39988","76953","79058","NA","78956","79158","4681","73860","NA","NA","8913","NA","2752","Hommel2002EXP01","0","22003","11","yes","1024"
"n","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","yellow","blue","green","red","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","11","0","0","0","0","NA","11","11","0","0","11","11","11","11","11","0","0","0","0","0","0","11","11","11","11","11","11","11","11","11","11","0","11","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","79904","NA","NA","8910","NA","NA","81519","80004","8910","NA","82520","69405","76451","25368","82522","7225","7513","7729","8097","6056","2752","84023","70908","76953","26370","84026","84026","86130","NA","86028","86230","4681","79904","NA","NA","8913","NA","2752","Hommel2002EXP01","0","24003","12","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","yellow","red","blue","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","12","0","0","0","0","NA","12","12","0","0","12","12","12","12","12","0","0","0","0","0","0","12","12","12","12","12","12","12","12","12","12","0","12","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","86961","NA","NA","8910","NA","NA","88581","87063","8910","NA","89581","69405","76451","89583","82522","7225","7513","7729","8097","6056","2752","91084","70908","76953","91087","84026","91087","93191","NA","93089","93291","4681","86961","NA","NA","8913","NA","2752","Hommel2002EXP01","0","26003","13","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","blue","yellow","red","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","13","0","0","0","0","NA","13","13","0","0","13","13","13","13","13","0","0","0","0","0","0","13","13","13","13","13","13","13","13","13","13","0","13","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2001","NA","285","213","365","813","1166","2001","1372","legacy","0","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","94010","NA","NA","8910","NA","NA","95639","94121","8910","NA","96639","69405","76451","96641","82522","7225","7513","7729","8097","6056","2752","96642","70908","76953","96644","84026","96644","98749","NA","98647","98849","4681","94010","NA","NA","8913","NA","2752","Hommel2002EXP01","0","28004","14","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","blue","green","red","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","14","0","0","0","0","NA","14","14","0","0","14","14","14","14","14","0","0","0","0","0","0","14","14","14","14","14","14","14","14","14","14","0","14","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","99576","NA","NA","8910","NA","NA","101217","99699","8910","NA","102217","102219","76451","96641","82522","7225","7513","7729","8097","6056","2752","103219","103221","76953","96644","84026","103222","105326","NA","105224","105426","4681","99576","NA","NA","8913","NA","2752","Hommel2002EXP01","0","30004","15","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","red","green","yellow","blue","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","15","0","0","0","0","NA","15","15","0","0","15","15","15","15","15","0","0","0","0","0","0","15","15","15","15","15","15","15","15","15","15","0","15","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","106154","NA","NA","8910","NA","NA","107800","106282","8910","NA","108800","108802","76451","96641","82522","7225","7513","7729","8097","6056","2752","109302","109304","76953","96644","84026","109305","111409","NA","111307","111509","4681","106154","NA","NA","8913","NA","2752","Hommel2002EXP01","0","32004","16","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","blue","yellow","red","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","16","0","0","0","0","NA","16","16","0","0","16","16","16","16","16","0","0","0","0","0","0","16","16","16","16","16","16","16","16","16","16","0","16","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","112302","NA","NA","8910","NA","NA","113968","112466","8910","NA","114968","108802","76451","114970","82522","7225","7513","7729","8097","6056","2752","115971","109304","76953","115973","84026","115974","118078","NA","117976","118178","4681","112302","NA","NA","8913","NA","2752","Hommel2002EXP01","0","34004","17","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","blue","red","yellow","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","17","0","0","0","0","NA","17","17","0","0","17","17","17","17","17","0","0","0","0","0","0","17","17","17","17","17","17","17","17","17","17","0","17","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","0","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","118955","NA","NA","8910","NA","NA","120538","119030","8910","NA","121539","121541","76451","114970","82522","7225","7513","7729","8097","6056","2752","121542","121544","76953","115973","84026","121545","123649","NA","123547","123749","4681","118955","NA","NA","8913","NA","2752","Hommel2002EXP01","0","36004","18","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","red","yellow","blue","green","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","18","0","0","0","0","NA","18","18","0","0","18","18","18","18","18","0","0","0","0","0","0","18","18","18","18","18","18","18","18","18","18","0","18","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","124477","NA","NA","8910","NA","NA","126109","124569","8910","NA","127109","127111","76451","114970","82522","7225","7513","7729","8097","6056","2752","127611","127614","76953","115973","84026","127614","129718","NA","129616","129818","4681","124477","NA","NA","8913","NA","2752","Hommel2002EXP01","0","38004","19","yes","1024"
"n","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","green","yellow","blue","red","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","19","0","0","0","0","NA","19","19","0","0","19","19","19","19","19","0","0","0","0","0","0","19","19","19","19","19","19","19","19","19","19","0","19","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","130543","NA","NA","8910","NA","NA","132155","130640","8910","NA","133156","127111","76451","114970","133158","7225","7513","7729","8097","6056","2752","134158","127614","76953","115973","134160","134160","136264","NA","136162","136364","4681","130543","NA","NA","8913","NA","2752","Hommel2002EXP01","0","40004","20","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","red","green","blue","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","20","0","0","0","0","NA","20","20","0","0","20","20","20","20","20","0","0","0","0","0","0","20","20","20","20","20","20","20","20","20","20","0","20","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","137095","NA","NA","8910","NA","NA","138733","137218","8910","NA","139733","127111","139735","114970","133158","7225","7513","7729","8097","6056","2752","140735","127614","140737","115973","134160","140738","142843","NA","142741","142943","4681","137095","NA","NA","8913","NA","2752","Hommel2002EXP01","0","42004","21","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","yellow","green","red","blue","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","21","0","0","0","0","NA","21","21","0","0","21","21","21","21","21","0","0","0","0","0","0","21","21","21","21","21","21","21","21","21","21","0","21","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","143852","NA","NA","8910","NA","NA","145491","143976","8910","NA","146491","127111","139735","146493","133158","7225","7513","7729","8097","6056","2752","146994","127614","140737","146996","134160","146997","149101","NA","148999","149201","4681","143852","NA","NA","8913","NA","2752","Hommel2002EXP01","0","44004","22","yes","1024"
